MA,FA,Cs,Pb,Sn,Br,Cl,I,Bandgap,HOMO,LUMO,Light source,Illuminance (lux),PCE,Voc,Jsc(?A cm-2),FF
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,810,31.97,0.871,121,0.7685
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,860,30.36,0.867,120,0.7735
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,910,28.98,0.87,125,0.7803
0.95,0.05,0,1,0,0.05,0,0.95,1.64,0.64,0.28,LED,800,25.56,0.926,205,0.731
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,400,20.7,0.83,55,0.691
0,0,1,1,0,0.33,0,0.66,1.53,0.33,0.4,FL,1000,19.05,0.64,130,0.63
1,0,0,1,0,0,0,1,1.53,0.2,0.4,LED,400,21.33,0.871,62,0.583
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,1000,27,0.858,129,0.753
1,0,0,1,0,0,0,1,1.53,0.2,0.53,LED,1000,35.9,0.98,157,0.72
1,0,0,1,0,0,0,1,1.53,0.4,0.33,LED,1000,26.3,0.84,132,0.75
1,0,0,1,0,0,0.25,0.75,1.5,0.25,0.25,LED,1000,36.2,1.028,126,0.768
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,555,33.88,0.86,89.7,0.79
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,538,33.56,0.844,79.2,0.75
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,492,31.34,0.833,65.6,0.75
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,200,0.58,0.45,2.01,0.4544
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,400,0.46,0.502,3,0.4105
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,200,12.85,0.805,23.68,0.4959
1,0,0,1,0,0,0,1,1.53,0.2,1.43,LED,400,13.32,0.842,40.26,0.5257
0,0,1,1,0,1,0,0,1.2,0.3,0.1,LED,300,33.33,0.928,48.44,0.684
0,0,1,1,0,1,0,0,1.2,0.3,0.1,LED,500,34.59,0.936,81.17,0.699
0,0,1,1,0,1,0,0,1.7,0.3,0.1,LED,1000,35.35,0.973,152.02,0.7345
0.57,0.38,0.05,1,0,0.2,0,0.8,1.8,0.38,0.64,LED,300,36.35,0.959,50.14,0.6974
0.57,0.38,0.05,1,0,0.2,0,0.8,1.8,0.38,0.64,LED,500,37.51,0.974,82.85,0.7188
0.57,0.38,0.05,1,0,0.2,0,0.8,1.8,0.38,0.64,LED,1000,38.52,1.028,152.79,0.7537
1,0,0,1,0,0,0,1,1.53,0.2,0.8,LED,810,31.97,0.871,120,0.7685
1,0,0,1,0,0,0,1,1.53,0.2,0.8,LED,860,30.36,0.867,121,0.7735
1,0,0,1,0,0,0,1,1.53,0.2,0.8,LED,910,28.98,0.87,125,0.7803
0.95,0.05,0,1,0,0.05,0,0.95,1.53,0.19,0.19,LED,800,25.56,0.926,205,0.731
1,0,0,1,0,0,0,1,1.53,0.2,0.6,LED,400,20.7,0.83,55,0.69
0,0,1,1,0,0.66,0,0.33,1.9,0.5,0.6,LED,1000,19.05,0.64,130,0.63
1,0,0,1,0,0,0,1,1.53,0.2,0.3,LED,400,21.33,0.871,62,0.583
1,0,0,1,0,0,0,1,1.53,0.2,0.8,LED,1000,27,0.858,129,0.753
1,0,0,1,0,0,0,1,1.53,0.2,0.6,LED,1000,35.9,0.98,157,0.72
1,0,0,1,0,0,0,1,1.53,0.4,0.6,LED,1000,26.3,0.84,132,0.75
1,0,0,1,0,0.33,0.33,0.34,1.8,0.6,0.2,LED,1000,36.2,1.028,126,0.768
1,0,0,1,0,0,0,1,1.53,0.6,0.2,LED,1000,35.2,0.87,150,0.752
1,0,0,1,0,0,0,1,1.53,0.2,0.8,LED,555,33.88,0.86,87.9,0.7694
1,0,0,1,0,0,0,1,1.53,0.2,0.8,LED,538,33.56,0.84,79.2,0.617
1,0,0,1,0,0,0,1,1.53,0.2,0.8,LED,492,31.34,0.833,65.7,0.755
1,0,0,1,0,0,0.33,0.66,1.6,0.5,0.3,LED,100,20.9,0.75,13,0.65
1,0,0,1,0,0,0.33,0.66,1.6,0.4,0.3,LED,100,18.6,0.67,13,0.66
1,0,0,1,0,0,0.33,0.66,1.6,0.8,0.3,LED,100,5.8,0.51,13,0.33
1,0,0,1,0,0,0.33,0.66,1.6,0.3,0.3,LED,100,2.1,0.24,13,0.3
1,0,0,1,0,0,0.33,0.66,1.6,0.5,0.3,LED,600,25.1,0.83,79,0.74
1,0,0,1,0,0,0.33,0.66,1.6,0.4,0.3,LED,600,23.1,0.73,81,0.75
1,0,0,1,0,0,0.33,0.66,1.6,0.8,0.3,LED,600,11.6,0.66,65,0.51
1,0,0,1,0,0,0.33,0.66,1.6,0.3,0.3,LED,600,6.5,0.53,61,0.4
1,0,0,1,0,0,0.33,0.66,1.6,0.5,0.3,LED,1000,26.3,0.84,132,0.75
1,0,0,1,0,0,0.33,0.66,1.6,0.4,0.3,LED,1000,24.8,0.76,133,0.76
1,0,0,1,0,0,0.33,0.66,1.6,0.8,0.3,LED,1000,13.7,0.7,108,0.7
1,0,0,1,0,0,0.33,0.66,1.6,0.3,0.3,LED,1000,8.3,0.57,104,0.57
1,0,0,1,0,0,0,1,1.53,0.2,0.6,LED,100,19.5,0.58,14,0.66
1,0,0,1,0,0,0,1,1.53,0.2,0.6,LED,500,25.7,0.69,70,0.74
1,0,0,1,0,0,0,1,1.53,0.2,0.6,LED,1000,35.2,0.87,150,0.75
0.95,0,0.05,1,0,0,0,1,1.8,0.38,0.3,LED,1000,29.43,0.87,400,0.7202
0.95,0,0.05,1,0,0,0,1,1.8,0.38,0.3,LED,1000,28.96,0.87,390,0.7446
0.95,0,0.05,1,0,0,0,1,1.8,0.38,0.3,LED,1000,32.32,0.91,400,0.7865
0.95,0,0.05,1,0,0,0,1,1.8,0.38,0.3,LED,1000,30.53,0.92,390,0.7281
0.95,0,0.05,1,0,0,0,1,1.8,0.38,0.3,LED,1000,17.14,0.91,360,0.455
0.95,0,0.05,1,0,0,0,1,1.8,0.38,0.3,LED,1000,5.59,0.87,140,0.3689
0.95,0,0.05,1,0,0,0,1,2,0.5,0.6,LED,1000,28.43,0.87,410,0.7102
0.95,0,0.05,1,0,0.1,0,0.9,1.8,0.2,0.6,LED,1000,28.96,0.87,390,0.7446
0.95,0,0.05,1,0,0.2,0,0.8,1.8,0.2,0.6,LED,1000,32.82,0.91,400,0.7865
0.95,0,0.05,1,0,0.3,0,0.7,1.8,0.2,0.6,LED,1000,30.53,0.92,390,0.7281
0.95,0,0.05,1,0,0.4,0,0.6,1.8,0.2,0.6,LED,1000,17.14,0.91,360,0.455
0.95,0,0.05,1,0,0.5,0,0.5,1.8,0.2,0.6,LED,1000,5.59,0.87,140,0.3889
1,0,0,1,0,0,0,1,1.53,0.11,0.7,LED,1000,22.7,0.809,171,0.65
1,0,0,1,0,0,0,1,1.53,-0.01,0.7,LED,1000,30.1,0.796,186,0.74
1,0,0,1,0,0,0,1,1.53,0.11,0.7,LED,200,10.31,0.654,58,0.41
1,0,0,1,0,0,0,1,1.53,-0.01,0.7,LED,200,6.03,0.502,38,0.29
1,0,0,1,0,0,0,1,1.53,0.26,0.37,LED,220,14.1,0.865,479,0.748
1,0,0,1,0,0.04,0,0.96,1.8,0.3,0.6,LED,220,19.9,0.974,603,0.745
1,0,0,1,0,0,0.04,0.96,1.7,0.2,0.5,LED,220,20.8,0.956,622,0.771
1,0,0,1,0,0,0,1,1.53,0.26,0.37,FL,320,12.8,0.756,76,0.71
1,0,0,1,0,0.04,0,0.96,1.8,0.3,0.6,FL,321,20.3,0.895,98,0.744
1,0,0,1,0,0,0.04,0.96,1.7,0.2,0.5,FL,322,23,0.901,105,0.779
1,0,0,1,0,0,0,1,1.53,0.36,0.57,LED,1000,17.8,0.779,147,0.46
0,0,1,1,0,0.33,0,0.66,1.8,0.5,0.8,LED,200,25.21,0.97,22,0.7572
0,0,1,1,0,0.33,0,0.66,1.8,0.5,0.8,LED,500,26.69,1.02,57,0.7626
0,0,1,1,0,0.33,0,0.66,1.8,0.5,0.8,LED,1000,30.73,1.06,126,0.7667
