MA,FA,Cs,Pb,Sn,Br,Cl,I,Bandgap,HOMO,LUMO,Light source,Illuminance (lux),PCE,Voc,Jsc(?A cm-2),FF
1,0,0,1,0,0,0,1,1.55,0.05,-0.4,LED,600,25.24,0.87,67.63,0.79
1,0,0,1,0,0,0,1,1.55,0.05,-0.4,LED,800,25.45,0.88,86.3,0.8
1,0,0,1,0,0,0,1,1.55,0.05,-0.4,LED,1000,26.19,0.89,112.81,0.8
1,0,0,1,0,0,0,1,1.55,0.05,-0.89,LED,400,26.21,0.89,45.31,0.78
1,0,0,1,0,0,0,1,1.55,0.05,-0.89,LED,600,26.33,0.89,68.11,0.8
1,0,0,1,0,0,0,1,1.55,0.05,-0.89,LED,800,26.71,0.87,90.48,0.81
1,0,0,1,0,0,0,1,1.55,0.05,-0.89,LED,1000,26.98,0.9,113.5,0.81
1,0,0,1,0,0,0,1,1.55,0.05,-0.84,LED,400,26.91,0.86,46.36,0.81
1,0,0,1,0,0,0,1,1.55,0.05,-0.84,LED,600,26.58,0.87,69.46,0.81
1,0,0,1,0,0,0,1,1.55,0.05,-0.84,LED,800,27.49,0.88,92.07,0.81
1,0,0,1,0,0,0,1,1.55,0.05,-0.84,LED,1000,27.12,0.89,115.37,0.81
1,0,0,1,0,0,0,1,1.55,0.05,0.05,LED,400,26.99,0.9,49.48,0.72
1,0,0,1,0,0,0,1,1.55,0.05,0.05,LED,600,26.44,0.92,72.51,0.73
1,0,0,1,0,0,0,1,1.55,0.05,0.05,LED,800,28.74,0.94,98.63,0.74
1,0,0,1,0,0,0,1,1.55,0.05,0.05,LED,1000,25.58,0.95,123,0.75
1,0,0,1,0,0,0,1,1.55,0.05,-0.4,LED,400,32.52,0.95,51.99,0.79
1,0,0,1,0,0,0,1,1.55,0.05,-0.4,LED,600,32.8,0.97,78.8,0.79
1,0,0,1,0,0,0,1,1.55,0.05,-0.4,LED,800,33.89,0.98,103.2,0.8
1,0,0,1,0,0,0,1,1.55,0.05,-0.4,LED,1000,33.27,0.99,128.83,0.8
1,0,0,1,0,0,0,1,1.55,0.05,-0.84,LED,400,36.14,0.98,56.62,0.81
1,0,0,1,0,0,0,1,1.55,0.05,-0.84,LED,600,36.33,0.99,82.44,0.82
1,0,0,1,0,0,0,1,1.55,0.05,-0.84,LED,800,36.9,1,107.43,0.82
1,0,0,1,0,0,0,1,1.55,0.05,-0.84,LED,1000,36.1,1.01,133.67,0.82
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,1000,17.8,0.779,147,0.465
1,0,0,1,0,0.066,0.066,0.86,1.78,0.24,0.36,LED,1000,22.6,0.86,138,0.572
1,0,0,1,0,0,0,1,1.53,-0.01,0.07,LED,1000,30.01,0.796,186,0.74
1,0,0,1,0,0,0,1,1.53,-0.01,0.07,LED,200,20.14,0.698,66,0.59
1,0,0,1,0,0,0,1,1.53,0.35,0.07,LED,1000,15.5,0.6,130,0.5
1,0,0,1,0,0,0,1,1.53,0.35,0.07,LED,200,10.31,0.645,58,0.41
1,0,0,1,0,0,0,1,1.6,0.09,-0.56,FL,1000,27.4,0.85,137.5,0.77
1,0,0,1,0,0,0,1,1.6,0.09,-0.56,LED,400,26.9,0.895,64.5,0.72
1,0,0,1,0,0,0,1,1.53,0.2,0.33,FL,200,26.5,0.81,30.6,0.68
1,0,0,1,0,0,0,1,1.53,0.2,0.33,FL,400,27.4,0.85,57.4,0.71
1,0,0,1,0,0,0,1,1.53,0.2,0.33,FL,600,27.7,0.86,84.5,0.72
1,0,0,1,0,0,0,1,1.53,0.2,0.33,FL,800,28.2,0.87,111,0.73
1,0,0,1,0,0,0,1,1.53,0.2,0.33,FL,1000,28.6,0.88,135,0.75
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,500,17.5,0.8,74,0.46
1,0,0,1,0,0,0,1,1.53,0.2,-0.13,LED,500,33.4,0.97,77.1,0.7
1,0,0,1,0,0,0,1,1.53,0.2,-0.41,LED,500,32.3,0.93,77,0.71
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,1000,24.7,0.89,149,0.52
1,0,0,1,0,0,0,1,1.53,0.2,-0.13,LED,1000,35.9,0.98,157.6,0.72
1,0,0,1,0,0,0,1,1.53,0.2,-0.41,LED,1000,34.8,0.95,157.7,0.72
1,0,0,1,0,0,0,1,1.53,0.2,0.43,FL,200,24,0.705,31,0.6
1,0,0,1,0,0,0,1,1.53,0.2,0.43,FL,400,25.4,0.774,58,0.72
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,200,17.4,0.659,28,0.63
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,400,18.9,0.702,56,0.63
